cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E3.1.443	E3	8 cell	8 cell	8 cell	0.997026153480672	NA	-3.55592632293701	-10.7023639678955
E3.1.444	E3	8 cell	8 cell	8 cell	0.997450648195602	NA	-3.61938190460205	-10.3129615783691
E3.1.445	E3	8 cell	8 cell	8 cell	0.997139208583837	NA	-3.60061049461365	-10.9482364654541
E3.1.447	E3	8 cell	8 cell	8 cell	0.999627804966358	NA	-3.67437601089478	-10.9634199142456
E3.1.448	E3	8 cell	8 cell	8 cell	0.998748014247483	NA	-3.56931591033936	-10.8951539993286
E3.2.449	E3	8 cell	8 cell	8 cell	0.99178556418026	NA	-3.59850859642029	-11.4634962081909
E3.2.450	E3	8 cell	8 cell	8 cell	0.999758290507026	NA	-3.63373494148254	-11.2508764266968
E3.2.453	E3	8 cell	8 cell	8 cell	0.996843570659537	NA	-3.58055663108826	-11.6775541305542
E3.2.454	E3	8 cell	8 cell	8 cell	0.99963977126892	NA	-3.63559556007385	-11.6408920288086
E3.2.455	E3	8 cell	8 cell	8 cell	0.999230534310058	NA	-3.61254858970642	-11.6305465698242
E3.2.466	E3	8 cell	Z4cell	Z4cell	0.888151665601066	NA	-3.48230171203613	-12.6070432662964
E3.2.467	E3	8 cell	Z4cell	Z4cell	0.894215446194841	NA	-3.27010464668274	-12.7380638122559
E3.3.457	E3	8 cell	8 cell	8 cell	0.999086904264635	NA	-3.68021965026855	-11.1594944000244
E3.3.458	E3	8 cell	8 cell	8 cell	0.997246475389196	NA	-3.5065381526947	-11.1923856735229
E3.3.459	E3	8 cell	8 cell	8 cell	0.997970057723994	NA	-3.56147789955139	-11.074182510376
E3.3.460	E3	8 cell	8 cell	8 cell	0.977101682387288	NA	-3.63161301612854	-11.3674688339233
E3.4.462	E3	8 cell	8 cell	8 cell	0.994896280735351	NA	-3.59016633033752	-11.8473653793335
E3.4.463	E3	8 cell	Ambiguous	Ambiguous	0.209217596965383	NA	-3.41431140899658	-12.5632820129395
E3.4.465	E3	8 cell	8 cell	8 cell	0.963710495552602	NA	-3.51026558876038	-12.1376647949219
E3.45.3374	E3	8 cell	8 cell	8 cell	0.998124694123681	NA	-3.61558628082275	-10.2689933776855
E3.45.3376	E3	8 cell	8 cell	8 cell	0.997441465222203	NA	-3.78219032287598	-10.9764766693115
E3.45.3378	E3	8 cell	8 cell	8 cell	0.980628263572461	NA	-3.69233870506287	-10.3360013961792
E3.45.3380	E3	8 cell	8 cell	8 cell	0.998128355509184	NA	-3.64765572547913	-10.430269241333
E3.46.3382	E3	8 cell	8 cell	8 cell	0.999841004484504	NA	-3.46950793266296	-9.70731735229492
E3.46.3385	E3	8 cell	8 cell	8 cell	0.999747127399192	NA	-3.39788436889648	-9.60778141021729
E3.46.3386	E3	8 cell	8 cell	8 cell	0.998583580366089	NA	-3.6093864440918	-9.55386829376221
E3.46.3388	E3	8 cell	8 cell	8 cell	0.999867217446278	NA	-3.41648316383362	-9.7262020111084
E3.47.3389	E3	8 cell	8 cell	8 cell	0.970652437774357	NA	-3.40910291671753	-9.48154830932617
E3.47.3390	E3	8 cell	8 cell	8 cell	0.999898221912561	NA	-3.64715313911438	-9.41257572174072
E3.47.3391	E3	8 cell	8 cell	8 cell	0.999649276569741	NA	-3.49440836906433	-9.4005298614502
E3.47.3393	E3	8 cell	8 cell	8 cell	0.999820913016498	NA	-3.42961049079895	-9.3380823135376
E3.48.3397	E3	8 cell	8 cell	8 cell	0.998541416002762	NA	-3.50156259536743	-9.50930118560791
