cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
sc7785290	CS7	HEP	HEP	HEP	0.999868802021355	NA	-10.9741125106812	4.23744249343872
sc7786612	CS7	DE	Ambiguous	Ambiguous	0.399177661245831	NA	0.225331351161003	1.2553985118866
sc7786605	CS7	AdvMes	AdvMes	AdvMes	0.751267995760626	NA	-5.45387601852417	5.99120998382568
sc7785737	CS7	PriS	Ambiguous	Ambiguous	0.441671130396901	NA	-6.83519315719604	1.71933674812317
sc7785398	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.98657985959854	NA	-7.90731906890869	8.95634651184082
sc7788091	CS7	Axial Mes	Axial Mes	Axial Mes	0.99957067229785	NA	-2.24354648590088	2.12480592727661
sc7785785	CS7	Erythroblasts	Erythroblasts	Erythroblasts	0.999263002846598	NA	-12.5439424514771	4.3362603187561
sc7785959	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.977907333627197	NA	-7.14820718765259	5.85479545593262
sc7785611	CS7	YSE	YSE	YSE	0.998750312241613	NA	0.87708181142807	2.38224029541016
sc7786585	CS7	Mesoderm	Mesoderm	Mesoderm	0.997448741608996	NA	-7.13119506835938	3.38733649253845
sc7785580	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.987091603284199	NA	-7.830894947052	8.90234375
sc7786076	CS7	Epiblast	Epiblast	Late_EPI	0.999709787032011	16.5692270724295	-5.84279155731201	-0.947211623191833
sc7785704	CS7	PriS	PriS	PriS	0.90111979361778	NA	-5.86991405487061	0.726994574069977
sc7785425	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.990777197355431	NA	-7.4926929473877	8.72859668731689
sc7786250	CS7	AdvMes	Ambiguous	Ambiguous	0.371161157651785	NA	-5.46761035919189	6.31127738952637
sc7785745	CS7	PriS	PriS	PriS	0.940442666920312	NA	-5.33782196044922	-0.450198411941528
sc7785599	CS7	YSE	YSE	YSE	0.999957377825835	NA	1.21433246135712	2.67137122154236
sc7785517	CS7	Mesoderm	Mesoderm	Mesoderm	0.998867280660665	NA	-5.05008888244629	5.00146245956421
sc7785907	CS7	Mesoderm	AdvMes	AdvMes	0.644329287361751	NA	-5.36744022369385	6.33553171157837
sc7785781	CS7	Mesoderm	Mesoderm	Mesoderm	0.975997617224292	NA	-4.26244735717773	3.79760479927063
sc7786375	CS7	Mesoderm	Mesoderm	Mesoderm	0.671269812609443	NA	-4.98253536224365	3.54266476631165
sc7785455	CS7	HEP	HEP	HEP	0.997761202762803	NA	-7.29272699356079	6.92303657531738
sc7786229	CS7	Mesoderm	Mesoderm	Mesoderm	0.978909992762695	NA	-7.25153589248657	2.20713043212891
sc7788319	CS7	PriS	Epiblast	Late_EPI	0.973884050066797	17.4543202025142	-6.52091836929321	0.0138577977195382
sc7785819	CS7	PriS	PriS	PriS	0.715520390590886	NA	-4.66142845153809	0.0578634403645992
sc7785535	CS7	Mesoderm	Mesoderm	Mesoderm	0.947616753225826	NA	-4.9525465965271	4.03536891937256
sc7785293	CS7	PriS	Epiblast	Late_EPI	0.999947636480744	17.1650114265645	-6.53021812438965	-0.346806585788727
sc7786726	CS7	AdvMes	AdvMes	AdvMes	0.999781148255474	NA	-5.91207218170166	5.45059108734131
sc7785598	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.906699439188035	NA	-8.03407859802246	8.96210479736328
sc7788138	CS7	PriS	PriS	PriS	0.997848061013008	NA	-7.70729398727417	0.939060926437378
sc7786611	CS7	Late_Amnion	Amnion	Amnion	0.998613685335042	NA	-3.52672529220581	0.817259907722473
sc7785901	CS7	Mesoderm	Mesoderm	Mesoderm	0.975240118818291	NA	-4.82264375686646	0.593111574649811
sc7785605	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.994853558592423	NA	-7.04681205749512	6.70982551574707
sc7785291	CS7	HEP	HEP	HEP	0.999789622113211	NA	-10.0225353240967	4.5571756362915
sc7788067	CS7	Mesoderm	Mesoderm	Mesoderm	0.896327335528323	NA	-6.17058086395264	4.09574031829834
sc7785883	CS7	DE	DE	DE	0.998547875780328	NA	-1.23552858829498	1.45929288864136
sc7785601	CS7	YSE	YSE	YSE	0.99996334217691	NA	1.2612738609314	3.03220748901367
sc7788215	CS7	HEP	Ambiguous	Ambiguous	0.0248966260061322	NA	-7.54261112213135	4.10283851623535
sc7785809	CS7	DE	DE	DE	0.995316090781344	NA	-1.35381805896759	1.58534455299377
sc7785732	CS7	Mesoderm	Mesoderm	Mesoderm	0.995418290153274	NA	-5.40482664108276	5.65208911895752
sc7786144	CS7	Mesoderm	Mesoderm	Mesoderm	0.984599431323097	NA	-6.59039974212646	3.57662272453308
sc7785753	CS7	PriS	PriS	PriS	0.995900487136871	NA	-7.18418979644775	1.37373745441437
sc7785378	CS7	HEP	HEP	HEP	0.999926141514886	NA	-10.8647613525391	4.24283790588379
sc7785430	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.865772834516086	NA	-8.18577098846436	8.96044826507568
sc7786263	CS7	PriS	PriS	PriS	0.921206377958438	NA	-6.10904121398926	0.487517029047012
sc7788072	CS7	PriS	PriS	PriS	0.997404926096813	NA	-7.18341302871704	1.46216595172882
sc7786040	CS7	Epiblast	Epiblast	Late_EPI	0.999541357711555	16.3868528436059	-5.41067218780518	-1.40972375869751
sc7785878	CS7	Hypoblast	Hypoblast	Late_Hypoblast	0.613806987615239	16.693441885111	0.246246963739395	2.3407826423645
sc7786655	CS7	DE	Ambiguous	Ambiguous	0.461012833200331	NA	-0.363074749708176	2.32088923454285
sc7785670	CS7	Mesoderm	Mesoderm	Mesoderm	0.955628107206583	NA	-4.98760890960693	1.91433453559875
sc7786487	CS7	Epiblast	Epiblast	Late_EPI	0.999956646081335	16.22056915221	-5.3817286491394	-1.7863792181015
sc7786194	CS7	PriS	PriS	PriS	0.970500701644348	NA	-7.81022214889526	1.01404285430908
sc7788188	CS7	Mesoderm	Mesoderm	Mesoderm	0.981108628676635	NA	-6.76310348510742	3.65326356887817
sc7786347	CS7	AdvMes	AdvMes	AdvMes	0.531860514723668	NA	-7.22881937026978	4.82588195800781
sc7788314	CS7	Amnion.Ecto	Ambiguous	Ambiguous	0.458682257504454	NA	-5.22616100311279	0.363431692123413
